sensorId,lat,lon,boxName,boxId,exposure,unit,pm10_2018-12-30T23Z,pm10_2018-12-31T00Z,pm10_2018-12-31T01Z,pm10_2018-12-31T02Z,pm10_2018-12-31T03Z,pm10_2018-12-31T04Z,pm10_2018-12-31T05Z,pm10_2018-12-31T06Z,pm10_2018-12-31T07Z,pm10_2018-12-31T08Z,pm10_2018-12-31T09Z,pm10_2018-12-31T10Z,pm10_2018-12-31T11Z,pm10_2018-12-31T12Z,pm10_2018-12-31T13Z,pm10_2018-12-31T14Z,pm10_2018-12-31T15Z,pm10_2018-12-31T16Z,pm10_2018-12-31T17Z,pm10_2018-12-31T18Z,pm10_2018-12-31T19Z,pm10_2018-12-31T20Z,pm10_2018-12-31T21Z,pm10_2018-12-31T22Z,pm10_2018-12-31T23Z,pm10_2019-01-01T00Z,pm10_2019-01-01T01Z,pm10_2019-01-01T02Z,pm10_2019-01-01T03Z,pm10_2019-01-01T04Z,pm10_2019-01-01T05Z,pm10_2019-01-01T06Z,pm10_2019-01-01T07Z,pm10_2019-01-01T08Z,pm10_2019-01-01T09Z,pm10_2019-01-01T10Z,pm10_2019-01-01T11Z,pm10_2019-01-01T12Z,pm10_2019-01-01T13Z,pm10_2019-01-01T14Z,pm10_2019-01-01T15Z,pm10_2019-01-01T16Z,pm10_2019-01-01T17Z,pm10_2019-01-01T18Z,pm10_2019-01-01T19Z,pm10_2019-01-01T20Z,pm10_2019-01-01T21Z,pm10_2019-01-01T22Z,pm10_2019-01-01T23Z,pm10_2019-01-02T00Z
593c20216ccf3b00117ca2d7,51.905181,7.620859,stuc_sensor,593c20216ccf3b00117ca2d6,outdoor,µg/m³,2.645714285714286,1.818695652173913,2.0086363636363633,2.4968421052631578,5.100952380952381,4.06,4.106363636363636,4.803076923076923,3.8541666666666665,2.2478571428571428,1.6186666666666667,0.995,2.560666666666667,1.7514285714285713,2.6975,2.067,1.681111111111111,2.266,3.4695238095238095,4.4676470588235295,4.682857142857143,6.021764705882354,3.4457142857142857,6.69,9.360000000000001,4.8687499999999995,4.3308333333333335,7.0135000000000005,11.149545454545454,16.805,13.996363636363638,10.638181818181819,10.29,9.640476190476189,5.983636363636364,4.088095238095239,1.9265217391304348,1.9809090909090907,2.9647619047619047,3.920434782608696,2.7486363636363635,2.62875,4.211739130434783,1.8308000000000002,2.3895833333333334,2.4337500000000003,2.854090909090909,2.472,2.88125,2.53125
59456e66a4ad590011177282,51.96422,7.645218,Wetterstation Erpho,591f578c51d34600116a8ea5,outdoor,µg/m³,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.09047619047619,22.583333333333332,23.371287128712872,24.749019607843138,25.121782178217824,25.00891089108911,27.580392156862743,29.36336633663366
599180be7e280a001044b83b,51.929339,7.684194,C1024_balcony,599180be7e280a001044b837,outdoor,µg/m³,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59ad958fd67eb50011b85f71,51.903004,7.635283,Kortumweg,59ad958fd67eb50011b85f6d,outdoor,µg/m³,27.020232558139533,23.4504,21.435294117647057,25.824166666666667,31.1625,40.08395348837209,37.160555555555554,42.589,33.43159090909091,23.96941176470588,17.4965,16.575833333333332,15.983076923076924,16.8515,17.023061224489794,16.66781818181818,17.19017857142857,19.85892857142857,26.545,26.334821428571427,31.23090909090909,28.780714285714286,24.13732142857143,26.179454545454544,46.727636363636364,11.855535714285713,13.573818181818181,22.41107142857143,30.09018181818182,44.68788461538462,37.63875,29.998333333333335,31.025897435897434,27.27953488372093,15.79468085106383,12.265714285714285,7.225476190476191,12.275319148936171,13.789375,12.146190476190476,12.448048780487804,11.907234042553192,12.182340425531915,10.897027027027027,11.21425,12.11225,13.888679245283019,12.12418181818182,14.16509090909091,15.819464285714286
59ba6c8ad67eb50011923001,51.931201,7.30145,Naturschutzzentrum Kreis Coesfeld,59ba6c8ad67eb50011922fff,outdoor,µg/m³,22.603333333333335,22.596666666666668,25.93166666666667,40.01166666666666,51.58833333333334,54.905,65.54666666666667,38.38666666666666,28.968333333333337,25.008333333333333,20.84,23.48,21.62,19.651666666666664,15.823333333333332,14.301666666666668,19.154999999999998,23.4,21.855,35.825,31.636666666666667,35.906666666666666,28.248333333333335,15.348333333333333,45.46333333333334,27.220000000000002,19.27,28.956666666666667,45.61,62.585,38.68,27.85,27.983333333333334,19.021666666666665,11.95,8.636666666666667,6.225,12.428333333333335,13.09,10.1,8.577049180327869,8.713333333333333,8.821666666666665,8.366666666666667,8.613333333333333,8.951666666666666,8.488333333333333,8.465,10.071666666666665,10.043333333333333
59c3b7bcd67eb50011337e37,51.956907,7.633289,Gruenes_Zentrum,59c3b5e1d67eb50011335cee,outdoor,µg/m³,77.6,63.26,60.973333333333336,61.75833333333333,94.78666666666666,101.12333333333332,120.695,129.89666666666668,85.06166666666667,69.355,39.66,41.88166666666667,44.62166666666667,37.815000000000005,37.94833333333334,32.83,31.55,34.769999999999996,45.443333333333335,37.309999999999995,55.8,55.70166666666667,48.21,37.538333333333334,70.38166666666666,33.875,33.92,48.72833333333333,62.038333333333334,87.05666666666666,82.13833333333334,56.14,66.88166666666667,59.75,26.475409836065573,16.176666666666666,13.620000000000001,30.028333333333332,24.271666666666665,22.66,25.59,22.803333333333335,23.69333333333333,22.648333333333333,24.853333333333335,25.581666666666667,25.525,24.290000000000003,27.303333333333335,29.89333333333333
5a0809859fd3c20011bf3b07,51.857716,7.490391,K4 Senden,5852edf116c08e000fd20768,outdoor,µg/m³,72.30333333333333,71.67166666666667,76.68833333333333,111.135,150.9116666666667,156.62,203.89999999999998,170.96833333333333,103.98,64.33050847457628,31.2,22.603333333333335,26.783333333333335,24.621666666666666,22.828333333333333,21.028333333333332,23.875,30.365000000000002,36.16065573770492,30.456666666666667,31.720000000000002,27.193220338983053,28.136666666666667,30.651666666666664,74.615,14.805,17.265,24.765,30.795,38.513333333333335,31.77,30.56779661016949,37.75932203389831,33.42666666666666,21.858333333333334,13.845,8.779661016949152,13.808474576271188,18.321666666666665,15.618333333333334,15.285,16.085,12.951666666666666,12.343333333333334,14.071666666666665,14.655,15.264999999999999,15.906666666666666,16.175,17.073333333333334
5a0c15289fd3c200110f3d35,51.953351,7.641463,Wetterstation Hansaring,5a0c15289fd3c200110f3d33,outdoor,µg/m³,40.82333333333334,35.17166666666667,30.445,30.241666666666667,45.525,49.21,52.11666666666667,52.25333333333333,33.325,29.188333333333333,20.438333333333333,23.163333333333334,25.5,22.771666666666665,23.001666666666665,21.041666666666668,20.236666666666668,22.333333333333332,32.88,27.991666666666667,36.68833333333334,42.33166666666667,42.18,38.595,205.63666666666668,30.7,22.15,32.945,43.531666666666666,62.66833333333333,58.84666666666667,39.47666666666667,39.03,32.05833333333333,14.733333333333333,9.706666666666667,8.59,18.301666666666666,16.970000000000002,15.143333333333334,15.915,14.918333333333333,15.908333333333333,15.343333333333334,15.795,16.886666666666667,17.238333333333333,16.908333333333335,18.476271186440677,19.976666666666667
5a0c2cc89fd3c200111118f2,51.960435,7.641426,Umwelthaus Münster,5a0c2cc89fd3c200111118f0,outdoor,µg/m³,45.52333333333333,35.85166666666667,32.20166666666667,33.093333333333334,53.083333333333336,46.09166666666667,54.05,53.943333333333335,33.79,31.676666666666666,22.904999999999998,25.123333333333335,26.983050847457626,23.945454545454545,24.78666666666667,21.667796610169493,20.133333333333333,22.883333333333333,34.038983050847456,24.606779661016947,33.403333333333336,36.625,31.83,24.938983050847458,49.82,19.31,19.831666666666667,27.451666666666664,37.48166666666667,53.79833333333333,53.56666666666667,36.05593220338984,40.36666666666667,34.485,14.743333333333334,9.508333333333333,9.116666666666667,21.459999999999997,19.471666666666668,16.64,18.922033898305088,15.725,18.271186440677965,16.995,17.976666666666667,19.028333333333332,19.93166666666667,18.975,21.195,23.54576271186441
5a0c30489fd3c20011115fb9,51.970725,7.631443,Nordschänke,5a0c30489fd3c20011115fb7,outdoor,µg/m³,60.88333333333333,45.776666666666664,38.388333333333335,38.891666666666666,53.445,52.62166666666667,63.46,69.55,49.57333333333334,39.59666666666667,29.241666666666667,34.18,35.35737704918033,33.26166666666667,32.335,28.145,26.495,29.763333333333332,34.91166666666666,34.99666666666667,43.08833333333334,48.05,46.35666666666667,31.128333333333334,112.47833333333332,24.81833333333333,27.168333333333333,35.205000000000005,50.49333333333333,71.925,70.55333333333333,46.27166666666667,49.13333333333333,41.29,17.225,11.491666666666667,11.568333333333333,25.003333333333334,22.426666666666666,21.445,22.066666666666666,17.64406779661017,21.54137931034483,19.945,22.525,23.270491803278688,23.033333333333335,23.10666666666667,25.529999999999998,28.666666666666668
